,contributors_enabled,created_at,default_profile,default_profile_image,description,entities,favourites_count,follow_request_sent,followers_count,following,friends_count,geo_enabled,has_extended_profile,id,id_str,is_translation_enabled,is_translator,label,lang,listed_count,location,name,notifications,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_banner_url,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,protected,screen_name,status,statuses_count,time_zone,translator_type,url,utc_offset,verified,id,reputation,taste
10086382,FALSE,Fri Nov 09 02:29:23 +0000 2007,FALSE,FALSE,"Indiana's premier urban public research institution. IUPUI: Fulfilling the promise. Tweets by Sam, Morgan and Kris with @IUComm.",,2825,,30336,,3229,TRUE,FALSE,10086382,10086382,FALSE,FALSE,1,en,348,"Indianapolis, IN",IUPUI,,7D110C,http://pbs.twimg.com/profile_background_images/378800000112316384/5201f31016db81c000b0c63c2e4a7f6b.png,https://pbs.twimg.com/profile_background_images/378800000112316384/5201f31016db81c000b0c63c2e4a7f6b.png,FALSE,https://pbs.twimg.com/profile_banners/10086382/1506379305,http://pbs.twimg.com/profile_images/908002104085803008/gSrCOijZ_normal.jpg,https://pbs.twimg.com/profile_images/908002104085803008/gSrCOijZ_normal.jpg,7D110C,0,AF906A,0,FALSE,FALSE,IUPUI,,22873,Eastern Time (US & Canada),none,https://t.co/LLvFy8UY0Z,-18000,TRUE,10086382,0.904299132,0.526382905
1010928002,FALSE,Fri Dec 14 11:12:35 +0000 2012,FALSE,FALSE,Alex Javier // That one editor who hates mainstream things,,1355,,191,,306,FALSE,TRUE,1010928002,1010928002,FALSE,FALSE,0,en,2,probably an asshole,Javi,,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,TRUE,https://pbs.twimg.com/profile_banners/1010928002/1503309845,http://pbs.twimg.com/profile_images/905410306423193600/Gpb1oztn_normal.jpg,https://pbs.twimg.com/profile_images/905410306423193600/Gpb1oztn_normal.jpg,0,0,0,0,TRUE,FALSE,Neonmalu_,,4088,Hong Kong,none,,28800,FALSE,1010928002,0.384305835,0.724755218
1013680844,FALSE,Sat Dec 15 18:08:42 +0000 2012,FALSE,FALSE,Give God all the glory//SEU tennis?,,31362,,529,,353,TRUE,TRUE,1013680844,1013680844,FALSE,FALSE,0,en,2,Tennis,Gabby Marshall,,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,TRUE,https://pbs.twimg.com/profile_banners/1013680844/1509845565,http://pbs.twimg.com/profile_images/919602531348701186/iJ7_mPL6_normal.jpg,https://pbs.twimg.com/profile_images/919602531348701186/iJ7_mPL6_normal.jpg,9999,EEEEEE,EFEFEF,333333,TRUE,TRUE,gabbymarshall9,,17040,Eastern Time (US & Canada),none,,-18000,FALSE,1013680844,,
10145612,FALSE,Sun Nov 11 05:43:45 +0000 2007,FALSE,FALSE,Digital Strategist | Currently traveling the world for 6 months. | Runner ????. Traveler ??. Drinker ?. Instigator ?.,,1206,,1546,,490,FALSE,FALSE,10145612,10145612,FALSE,FALSE,0,en,206,"Chicago, IL",phampants,,C6E2EE,http://pbs.twimg.com/profile_background_images/7867211/bg_twittergallery.jpg,https://pbs.twimg.com/profile_background_images/7867211/bg_twittergallery.jpg,FALSE,https://pbs.twimg.com/profile_banners/10145612/1473176234,http://pbs.twimg.com/profile_images/878689783257587712/Cs7jv-IZ_normal.jpg,https://pbs.twimg.com/profile_images/878689783257587712/Cs7jv-IZ_normal.jpg,1F98C7,C6E2EE,DAECF4,663B12,TRUE,FALSE,phampants,,58692,Central Time (US & Canada),regular,https://t.co/rCH9PEHTsO,-21600,FALSE,10145612,0.759095379,0.745461118
101543796,FALSE,Sun Jan 03 18:43:44 +0000 2010,FALSE,FALSE,"Un peu de tout ... de la Formation, des RH, du e-learning. Habitante de #Courbevoie",,10615,,713,,936,TRUE,FALSE,101543796,101543796,FALSE,FALSE,0,en,76,PARIS,K,,0,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,FALSE,https://pbs.twimg.com/profile_banners/101543796/1509310474,http://pbs.twimg.com/profile_images/924741258748231680/YUm_SrKO_normal.jpg,https://pbs.twimg.com/profile_images/924741258748231680/YUm_SrKO_normal.jpg,F5ABB5,0,0,0,FALSE,FALSE,Karynouuu,,26212,,none,,,FALSE,101543796,0.431927711,0.777009269
102349665,FALSE,Wed Jan 06 11:52:49 +0000 2010,FALSE,FALSE,rare flower already wilting.,,561,,403,,385,TRUE,FALSE,102349665,102349665,FALSE,FALSE,0,en,4,"Crave for brain, not heart",N O B O D Y,,F8C7DA,http://pbs.twimg.com/profile_background_images/653639261095243776/65LPmusk.jpg,https://pbs.twimg.com/profile_background_images/653639261095243776/65LPmusk.jpg,TRUE,https://pbs.twimg.com/profile_banners/102349665/1502695888,http://pbs.twimg.com/profile_images/832851418893553665/E3webpif_normal.jpg,https://pbs.twimg.com/profile_images/832851418893553665/E3webpif_normal.jpg,D77FB2,0,F8C7DA,BF3186,TRUE,FALSE,mayannmata,,18762,Alaska,none,,-32400,FALSE,102349665,0.511450382,0.718206775
102377428,FALSE,Wed Jan 06 14:00:02 +0000 2010,FALSE,FALSE,"Where the prices are SOFA KING low, the quality of the sofas is amazing and delivery is fast hence why The Sofa King is the UK,s number 1 independent sofa store",,15,,173,,128,TRUE,FALSE,102377428,102377428,FALSE,FALSE,1,en,1,Northampton. UK,The Sofa King Ltd,,ACDED6,http://pbs.twimg.com/profile_background_images/103338452/sofatwitterbg.jpg,https://pbs.twimg.com/profile_background_images/103338452/sofatwitterbg.jpg,FALSE,https://pbs.twimg.com/profile_banners/102377428/1469801279,http://pbs.twimg.com/profile_images/759027451834036225/zJhSJiXM_normal.jpg,https://pbs.twimg.com/profile_images/759027451834036225/zJhSJiXM_normal.jpg,38543,EEEEEE,F6F6F6,333333,TRUE,FALSE,thesofakingltd,,31692,London,none,https://t.co/Syxo9wdSbW,0,FALSE,102377428,0.57615894,0.808230456
102659558,FALSE,Thu Jan 07 12:12:02 +0000 2010,FALSE,FALSE,"A family of 19 day nurseries across the south offering happy, nurturing childcare for the hours you need #flexiblechildcare",,273,,1965,,630,FALSE,TRUE,102659558,102659558,FALSE,FALSE,0,en,61,"South Coast, England",Tops Day Nurseries,,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,TRUE,https://pbs.twimg.com/profile_banners/102659558/1466081071,http://pbs.twimg.com/profile_images/2882107705/f28f3aaaf4357337f2eec9bec48ff86a_normal.jpeg,https://pbs.twimg.com/profile_images/2882107705/f28f3aaaf4357337f2eec9bec48ff86a_normal.jpeg,B40B43,CC3366,E5507E,362720,TRUE,FALSE,topsdaynursery,,3912,London,none,http://t.co/DjuIfRR14l,0,FALSE,102659558,0.757423833,0.596463039
1027167481,FALSE,Fri Dec 21 21:08:26 +0000 2012,TRUE,FALSE,"Follow me and I will follow back, I like all sorts of different things and yea thats it... 0/12| 12/05/14 Jake Miller | 16/07/15 Sean O'Donnell",,4849,,344,,774,TRUE,TRUE,1027167481,1027167481,FALSE,FALSE,0,en,4,"England, United Kingdom ",Jaysla Brandao,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,https://pbs.twimg.com/profile_banners/1027167481/1485256808,http://pbs.twimg.com/profile_images/927224264129998849/yUv270CZ_normal.jpg,https://pbs.twimg.com/profile_images/927224264129998849/yUv270CZ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,cookie_freak18,,2586,,none,,,FALSE,1027167481,0.308035714,0.767247614
102982202,FALSE,Fri Jan 08 13:27:38 +0000 2010,FALSE,FALSE,,,2,,1986,,132,FALSE,FALSE,102982202,102982202,FALSE,FALSE,0,en,144,"Paris, France",Aymeric Augustin,,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,https://pbs.twimg.com/profile_banners/102982202/1398546669,http://pbs.twimg.com/profile_images/495910428417871873/KOux80QM_normal.jpeg,https://pbs.twimg.com/profile_images/495910428417871873/KOux80QM_normal.jpeg,224466,0,BBEECC,333333,FALSE,FALSE,aymericaugustin,,4929,Paris,none,,3600,FALSE,102982202,0.93755913,0.786899456
